Schema_AT_ID,Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
reczIEqi63sS3RpYi,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld6OSIl15oC583ln,Assessment_Responses_Links,multipleRecordLinks,checked,tbld5u4M9jS7n7R5V,Assessment_Responses
recs77OZRxDirF3Hg,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldXAF2Jz3N9DDYnM,Assessment_Results_School_Item,multipleRecordLinks,checked,tblD7Kjxmno3JuhAk,Assessment_Results_School_Item
recNxAQwsMP8TMiDR,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldmwZewON5KqfKrM,Blanks,rollup,,,
recgsY7TLW774w2Hu,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldK40qvrdT6CFX4W,Domain (from Assessment_Item_Link),multipleLookupValues,,,
recNqGTCsR8lsvwpx,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld9Jz3X4OiT3auBc,Domain_Tags,multipleSelects,,,
recgVvidWcMELl4Vk,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldmOEPhz0Fqaozss,Item_Extract,formula,,,
recdbgku1dzyniqIF,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldL7VakLjooRFn2k,Item_Responses,rollup,,,
rec5WfJizPyCp2Qdf,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldSpQsYxy2oIKdVZ,Item_Type (from Assessment_Item_Link),multipleLookupValues,,,
recuGRBLjbHGZMQAP,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldVZpGRvoglEmlvL,Percent_Correct,formula,,,
recY4tHnErxuhii9b,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldxsFJOnFn6rFeV3,Region (from Region_Link),multipleLookupValues,,,
recQr8RByJFqXaipk,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld49UMrV7P1baZfL,Region_Extract,formula,,,
recXMyL1ZQg6c1vOp,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldUYOX3qofg0Exnz,Region_Full_Credit_All_Count,rollup,,,
rec3fXi0wUAmbAfsc,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldf762G1PkT7rd1D,Region_Full_Credit_Constructed,formula,,,
rec6qNpvR74eSEmbU,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldlevuStjQmecyVc,Region_Full_Credit_Constructed_Count,rollup,,,
recmBVYjjKQEGXlDU,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldxFRWwZZ84nv9wE,Region_Full_Credit_Percent,formula,,,
recRx6nv3sjXIwvHQ,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldd2dxJHAMzysOpj,Region_Item_Result_AT_ID,formula,,,
recV2em0foYP9S5HL,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldF9F5HIlmAHm173,Region_Item_Result_Key,singleLineText,,,
reccqOcFIXIqA0Iwm,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldRKXIzrZ2WEo7Tu,Region_Link,multipleRecordLinks,checked,tblKXWbABAC2WoXCn,Regions
rectuYum6Sgl6iigH,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldC9yf5VuVCMeSMN,Region_Link (from School_Link) (from Student_Response_Key) (from Assessment_Responses_Links),multipleLookupValues,,,
rec3EFNOPkLkWjFMB,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldVEJ5tg7HRy6S7N,Region_MC_Correct_Count,rollup,,,
rech9303PFxyk7Gng,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldLCViqmZVEBZ6jM,Region_Partial_Credit_All_Count,rollup,,,
reci2D8h9yHOgws7F,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldW7AMehyG0pKAOs,Region_Partial_Percent,formula,,,
recgO3e2nn1JT9YdE,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld7KC5MAcTRjQsCz,Response_Concat (from Assessment_Responses_Links),multipleLookupValues,,,
rec7inxDiqDHsUcWc,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld5m6zWufRE0WQTl,School_Item_Result_Key_Formula,formula,,,
reczYfOHMtdHtnv4t,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldWO15okvSouRZbi,School_Link (from Student_Response_Key) (from Assessment_Responses_Links),multipleLookupValues,,,
recDZ38DOpehWLiHl,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldbuzWehyhXAfd9q,Standards_Code (from Assessment_Item_Link),multipleLookupValues,,,
rechsq9hqZe3jeCeW,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldG7JfEt9aHlCLvg,Standards_Tags,multipleSelects,,,
recOkBuKTVly6AarQ,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldYl1b3DBJiDX6CS,Added_By,multipleRecordLinks,checked,tblWQJewTlrkfypPP,Users_Sync
recLCLGCurMALZilf,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldGtL2bro7SE4NXr,Assessment_Bank_AT_ID (from Assessment_Banks),singleLineText,,,
recm6JhGavR96hRhR,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldCYTyE5PYrGwnMq,Assessment_Banks,multipleRecordLinks,checked,tblwgM7tZ0e1sEpfX,Assessment_Banks
recSgP38aGpRivluD,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldOfhvGa1EmMOm16,Assessment_Import_Link,singleLineText,,,
recL9EVLjq6PWuTuK,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldmGZ9B9EYBmVPJd,Assessment_Label,multilineText,,,
reci4qiFiCCja62Vt,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fld4VGK2ucSActwq5,Created_Time,dateTime,,,
reciGMuierQOY47lU,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldruNFDzlWnwQnU9,Date_Initiated,dateTime,,,
recaVPBaA3nRjqbNj,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldZKtaTLt1eFR8tx,End_Row,number,,,
recV1OcJR3yRckFEi,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldIRDwHeOiCHQuJc,File_Name,singleLineText,,,
rec6Hva1Ipbwlhk55,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldu9THTzQX6XXTss,First_Item_Column (from Assessment_Banks),singleLineText,,,
rec6HrQXdHOuxaE6w,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fld0dl9iC1Ewaadbv,First_Item_Column_Letter (from Assessment_Banks),singleLineText,,,
recA8LXMqEH9fT05d,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldDfhQ4Ue2uIfUPh,Google_Sheet_Created,url,,,
rec0Tj1ydGsrsDG1i,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldNqvWY75Z36jESH,Grade,singleSelect,,,
recEQotA71ae1fhge,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fld2ew4MxZsG8dRyS,Import_ID,multilineText,,,
rec0z0kISECjX9ljO,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fld1lTRyqcY8e9P7I,Import_Source,url,,,
recdigTTugjY6YUxp,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldT2RUmUrjLhhyzk,Imported_At,dateTime,,,
recRfPUAjJpU5b9lu,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldJRa336RXfDjvhe,Imported_File,url,,,
recdGPdupwajM5mIh,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldh5X9koidGFVKEU,Imported_File_ID_Formula,multilineText,,,
recLfL3TlnWOFqMQj,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldBSwsf6IONba5EP,Item_Count,singleLineText,,,
reclagm6Ci5px7MTl,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldzKpGiyyKI7c33p,Last_Item_Column (from Assessment_Banks),singleLineText,,,
recQwrt6M5KPnAiBu,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldwz7a6p98w3jiPJ,Last_Item_Column_Letter (from Assessment_Banks),singleLineText,,,
recuj1xvCUA1FBVJt,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldCX5zEJmpFYAorv,Module,singleSelect,,,
recxcUmxTYjiI1G8w,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldwF3ZhxiV73YXyJ,Responses_Imported,number,,,
rec9lNwbUpKHhBtFg,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldk6JLLBHJQ6jTkY,School_Label,singleLineText,,,
rec8o5xBfAn1MBaTj,Assessment_Import_Log,tblaMuFVHtzyyKKqB,fldqtFbnWpqHSmGNZ,School_Link,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
